2024-12-19 12:02:10,679 - Generation 1 - Car 18: Speed: 20, Angle: 60, Distance: 80, Alive: True
2024-12-19 12:02:10,680 - Generation 1 - Car 19: Speed: 16, Angle: 30, Distance: 74, Alive: True
2024-12-19 12:02:10,680 - Generation 1 - Car 20: Speed: 20, Angle: 80, Distance: 80, Alive: True
2024-12-19 12:02:10,680 - Generation 1 - Car 21: Speed: 18, Angle: 60, Distance: 76, Alive: True
2024-12-19 12:02:10,680 - Generation 1 - Car 22: Speed: 26, Angle: 40, Distance: 92, Alive: True
2024-12-19 12:02:10,680 - Generation 1 - Car 23: Speed: 16, Angle: 60, Distance: 74, Alive: True
2024-12-19 12:02:10,680 - Generation 1 - Car 24: Speed: 16, Angle: 30, Distance: 74, Alive: True
2024-12-19 12:02:10,681 - Generation 1 - Car 25: Speed: 14, Angle: 40, Distance: 68, Alive: True
2024-12-19 12:02:10,681 - Generation 1 - Car 26: Speed: 20, Angle: 20, Distance: 80, Alive: True
2024-12-19 12:02:10,681 - Generation 1 - Car 27: Speed: 14, Angle: 40, Distance: 68, Alive: True
2024-12-19 12:02:10,681 - Generation 1 - Car 28: Speed: 14, Angle: 40, Distance: 68, Alive: True
2024-12-19 12:02:10,681 - Generation 1 - Car 29: Speed: 20, Angle: 10, Distance: 80, Alive: False
2024-12-19 12:02:10,681 - Generation 1 - Car 30: Speed: 26, Angle: 30, Distance: 92, Alive: True
2024-12-19 12:02:10,682 - Generation 1 - Car 31: Speed: 20, Angle: 70, Distance: 80, Alive: True
2024-12-19 12:02:10,682 - Generation 1 - Car 32: Speed: 20, Angle: 70, Distance: 80, Alive: True
2024-12-19 12:02:10,682 - Generation 1 - Car 33: Speed: 14, Angle: 40, Distance: 68, Alive: True
2024-12-19 12:02:10,682 - Generation 1 - Car 34: Speed: 26, Angle: 40, Distance: 92, Alive: True
2024-12-19 12:02:10,682 - Generation 1 - Car 35: Speed: 20, Angle: 20, Distance: 80, Alive: True
2024-12-19 12:02:10,682 - Generation 1 - Car 36: Speed: 24, Angle: 30, Distance: 86, Alive: True
2024-12-19 12:02:10,683 - Generation 1 - Car 37: Speed: 14, Angle: 40, Distance: 68, Alive: True
2024-12-19 12:02:10,683 - Generation 1 - Car 38: Speed: 14, Angle: 40, Distance: 68, Alive: True
2024-12-19 12:02:10,683 - Generation 1 - Car 39: Speed: 16, Angle: 50, Distance: 70, Alive: True
2024-12-19 12:02:10,696 - Generation 1 - Car 0: Speed: 22, Angle: 40, Distance: 112, Alive: True
2024-12-19 12:02:10,696 - Generation 1 - Car 1: Speed: 22, Angle: 70, Distance: 106, Alive: True
2024-12-19 12:02:10,697 - Generation 1 - Car 2: Speed: 28, Angle: 40, Distance: 120, Alive: True
2024-12-19 12:02:10,697 - Generation 1 - Car 3: Speed: 28, Angle: 50, Distance: 120, Alive: True
2024-12-19 12:02:10,697 - Generation 1 - Car 4: Speed: 20, Angle: 90, Distance: 100, Alive: True
2024-12-19 12:02:10,697 - Generation 1 - Car 5: Speed: 22, Angle: 70, Distance: 102, Alive: True
2024-12-19 12:02:10,697 - Generation 1 - Car 6: Speed: 12, Angle: 40, Distance: 80, Alive: True
2024-12-19 12:02:10,698 - Generation 1 - Car 7: Speed: 12, Angle: 50, Distance: 80, Alive: True
2024-12-19 12:02:10,698 - Generation 1 - Car 8: Speed: 22, Angle: 40, Distance: 112, Alive: True
